ID,問題ID,ヒントレベル,ヒント文面,削除フラグ,登録日時,修正日時
83,17,3,password = $passwordの部分が無視されれば良いんだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
84,17,4,uid = kusakabeとなれば良いんだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
85,17,5,kusakabe\'--,0,2017-12-27 12:24:12,2017-12-27 12:24:12
86,18,1,system関数は何をする関数か調べよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
87,18,2,system関数はOSのコマンドを実行する関数だ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
88,18,3,ユーザー入力がそのままsystem関数に渡されているね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
89,18,4,system関数に渡す引数にファイル一覧を表示するコマンドを渡せば良さそうだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
90,18,5,ls,0,2017-12-27 12:24:12,2017-12-27 12:24:12
91,19,1,愚直に1ビットずつ数えてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
92,19,2,ループを使って順番に処理しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
93,19,3,ビット列の長さを取得してループで回そう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
94,19,4,while文が使えそうだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
95,19,5,while文でビット列をループで回して1の場合数えるという処理をすればいけそう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
96,20,1,まずは円板が1つの場合を考えてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
97,20,2,次に円板が2つの場合、3つの場合を考える,0,2017-12-27 12:24:12,2017-12-27 12:24:12
98,20,3,Bの棒に一番大きい円板を移すためには一旦Cの棒に一番大きい円板以外を移す必要がある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
99,20,4,その後にCの棒からBの棒へ移動させる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
100,20,5,ハノイの塔,0,2017-12-27 12:24:12,2017-12-27 12:24:12
101,21,1,Cookieとはブラウザに保存されているデータのことだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
102,21,2,CookieはHTTPヘッダを見れば分かる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
103,21,3,HTTPヘッダはブラウザの開発者ツールを使えば見れる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
104,21,4,開発者ツールを起動してCookieの項目を見よ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
105,21,5,Cookieの名前はhackersから始まるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
106,22,1,IPアドレスはサーバー側でなければ取得できない,0,2017-12-27 12:24:12,2017-12-27 12:24:12
107,22,2,この例ではサーバー側のPHPでユーザーのIPアドレスを取得している,0,2017-12-27 12:24:12,2017-12-27 12:24:12
108,22,3,_SERVERは様々な値が格納されているPHPのグローバル変数である,0,2017-12-27 12:24:12,2017-12-27 12:24:12
109,22,4,$_SERVERの特定の値がユーザーのIPアドレスを表す,0,2017-12-27 12:24:12,2017-12-27 12:24:12
110,22,5,REMOTEから始まる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
111,23,1,最初はノーマルモードという状態で起動する,0,2017-12-27 12:24:12,2017-12-27 12:24:12
112,23,2,iをおして挿入モードに切り替える,0,2017-12-27 12:24:12,2017-12-27 12:24:12
113,23,3,ESCを押すとノーマルモードに切り替わる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
114,23,4,:を押すとコマンドモードに切り替わる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
115,23,5,viと似ている,0,2017-12-27 12:24:12,2017-12-27 12:24:12
116,24,1,Googleが2009年に発表したプログラミング言語,0,2017-12-27 12:24:12,2017-12-27 12:24:12
117,24,2,C/C++を置き換えるために考えられたんだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
118,24,3,dockerというソフトウェアで使われており注目を浴びている,0,2017-12-27 12:24:12,2017-12-27 12:24:12
119,24,4,Googleという名前の中に言語名があるよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
120,24,5,golangと言われることもある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
121,25,1,表示可能文字列というのはプログラムに埋め込まれたASCII文字のこと,0,2017-12-27 12:24:12,2017-12-27 12:24:12
122,25,2,バイナリファイルを調べてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
123,25,3,表示可能文字列を表示してくれる機能があるものを選ぼう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
124,25,4,stringsというコマンドが使えるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
125,25,5,wc -lで行数を数えることができる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
126,26,1,わからなければ何でも検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
127,26,2,Googleで検索するのをオススメするよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
128,26,3,「世界最初の汎用電子式コンピュータ」で検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
129,26,4,このURLに記載されてるよ  https://ja.wikipedia.org/wiki/ENIAC,0,2017-12-27 12:24:12,2017-12-27 12:24:12
130,26,5,E◯◯◯C　Eで始まりCで終わる言葉を探そう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
131,27,1,わからなければ何でも検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
132,27,2,Googleで検索するのをオススメするよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
133,27,3,「キャプテンクランチ」で検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
134,27,4,このURLに記載されてるよ  http://www.gizmodo.jp/2011/09/10-hackers-who-made-history.html,0,2017-12-27 12:24:12,2017-12-27 12:24:12
135,27,5,キャプテンクランチというある食べ物のおまけ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
136,28,1,わからなければ何でも検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
137,28,2,Googleで検索するのをオススメするよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
138,28,3,「キャプテンクランチ ヘルツ」で検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
139,28,4,このURLに記載されてるよ  http://www.gizmodo.jp/2011/09/10-hackers-who-made-history.html,0,2017-12-27 12:24:12,2017-12-27 12:24:12
140,28,5,2600ヘルツ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
141,29,1,わからなければ何でも検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
142,29,2,Googleで検索するのをオススメするよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
143,29,3,「メタリカ、ビーチ・ボーイ、ベイビィ・フェイス、ホワイト・アルバム」で検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
144,29,4,このURLに記載されてるよ http://dic.pixiv.net/a/%E3%82%B8%E3%83%A7%E3%82%B8%E3%83%A7%E3%81%AE%E5%A5%87%E5%A6%99%E3%81%AA%E5%86%92%E9%99%BA%E3%83%BB%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89%E4%B8%80%E8%A6%A7,0,2017-12-27 12:24:12,2017-12-27 12:24:12
145,29,5,これは全て「ジョジョの奇妙な冒険」というマンガに出てくるキャラクター,0,2017-12-27 12:24:12,2017-12-27 12:24:12
146,30,1,わからなければ何でも検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
147,30,2,Googleで検索するのをオススメするよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
148,30,3,「ボヘミアン・ラブソディー、スカイ・ハイ、アンダー・ワールド」で検索しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
149,30,4,DIO息子4兄弟って検索結果に出てきたはず,0,2017-12-27 12:24:12,2017-12-27 12:24:12
150,30,5,A〜DのキャラクターでDIOの息子を探そう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
151,31,1,パソコンが被害にあったらまず落ち着く,0,2017-12-27 12:24:12,2017-12-27 12:24:12
152,31,2,URLをクリックしては絶対ダメ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
153,31,3,警察に電話するよりも先にやることがある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
154,31,4,ウィルス対策ソフトでスキャンするよりも先にやることがある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
155,31,5,被害にあったパソコンをネットワークから切り離すことが最優先,0,2017-12-27 12:24:12,2017-12-27 12:24:12
156,32,1,スマホで表示できたならYahooのWebサーバはダウンしてない,0,2017-12-27 12:24:12,2017-12-27 12:24:12
157,32,2,IPアドレスのURLで表示できたのでルーターは稼働している,0,2017-12-27 12:24:12,2017-12-27 12:24:12
158,32,3,187.79.135.206は外部のネットワーク。そこに接続できたということはデフォルトゲートウェイは設定している,0,2017-12-27 12:24:12,2017-12-27 12:24:12
159,32,4,IPアドレスとドメイン名の紐づけを管理しているサーバーをDNSサーバーと呼ぶ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
160,32,5,ドメインの名称解決ができていないということは、新しいパソコンでDNSサーバーを設定していない可能性が大きい,0,2017-12-27 12:24:12,2017-12-27 12:24:12
161,33,1,IPアドレスの情報を確認するにはwhoisコマンドを使います,0,2017-12-27 12:24:12,2017-12-27 12:24:12
162,33,2,「whois 調べたいIPアドレス」のように入力して実行します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
163,33,3,IPアドレス１の国名コードはUSです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
164,33,4,IPアドレス２の国名コードはCNです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
165,33,5,USはアメリカ、CNは中国です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
166,34,1,キャプチャとはネットワークを流れるデータを補足する意味合い,0,2017-12-27 12:24:12,2017-12-27 12:24:12
167,34,2,この問題はネットワークに関する問題です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
168,34,3,Aの外付けハードディスクは無関係です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
169,34,4,LANケーブルだけでは調べることはできません,0,2017-12-27 12:24:12,2017-12-27 12:24:12
170,34,5,バカハブと呼ばれる機器を使います,0,2017-12-27 12:24:12,2017-12-27 12:24:12
171,35,1,ファイルの中身をみるにはエディタが必要,0,2017-12-27 12:24:12,2017-12-27 12:24:12
172,35,2,バイナリエディタを使おう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
173,35,3,vimでもバイナリモードがあるよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
174,35,4,エディタでファイルを開いたら「hackerz」で検索してみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
175,35,5,hackerz{Enjoy Hack},0,2017-12-27 12:24:12,2017-12-27 12:24:12
176,36,1,燃やすと復元できないです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
177,36,2,牛乳につけても意味はありません,0,2017-12-27 12:24:12,2017-12-27 12:24:12
178,36,3,文字が消せるボールペンのインクは温度が一定以上になれば無色に変化します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
179,36,4,熱して無色になるのなら逆に冷まそう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
180,36,5,水につけるだけでは元に戻りません,0,2017-12-27 12:24:12,2017-12-27 12:24:12
181,37,1,古代ローマ時代からあった暗号方式です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
182,37,2,シーザー暗号と呼ばれるのが有名です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
183,37,3,シーザ暗号はアルファベットを数文字ずらします,0,2017-12-27 12:24:12,2017-12-27 12:24:12
184,37,4,力技で暗号文のアルファベットを一文字ずつずらしていくのも一つの手段,0,2017-12-27 12:24:12,2017-12-27 12:24:12
185,37,5,ネットで使える解読ツール http://ango.satoru.net,0,2017-12-27 12:24:12,2017-12-27 12:24:12
186,38,1,画像を見てもヒントとなる建物はなさげ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
187,38,2,HTMLソースを見てもtitleなどにヒントはなさげ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
188,38,3,画像をダウンロードしてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
189,38,4,画像にはExif情報と呼ばれるものが埋め込まれている場合があります。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
190,38,5,画像のExif情報を確認する方法をネットで探してみよう。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
191,39,1,エディタでファイル開き、目視で確認するのも一つの手段だけど超大変,0,2017-12-27 12:24:12,2017-12-27 12:24:12
192,39,2,ファイルの行数をカウントするコマンドがあります,0,2017-12-27 12:24:12,2017-12-27 12:24:12
193,39,3,空の行を除外してカウントできれば・・・,0,2017-12-27 12:24:12,2017-12-27 12:24:12
194,39,4,複数のコマンドはパイプ「|」で連結することができます,0,2017-12-27 12:24:12,2017-12-27 12:24:12
195,39,5,コマンドにはいろいろなオプションが用意されています,0,2017-12-27 12:24:12,2017-12-27 12:24:12
196,40,1,IPアドレスとドメインは紐づけられています,0,2017-12-27 12:24:12,2017-12-27 12:24:12
197,40,2,「hackers.jpn.org」がドメインです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
198,40,3,ドメインからIPアドレスを調べる方法をネットで探そう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
199,40,4,あるコマンドを使うことでIPアドレスが分かります,0,2017-12-27 12:24:12,2017-12-27 12:24:12
200,40,5,ターミナルorコマンドプロンプトで「nslookup hackers.jpn.org」を実行しましょう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
201,41,1,手っ取り早いのはIPアドレスから推測することです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
202,41,2,ドメインのIPアドレスを調べよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
203,41,3,whoisコマンドでIPアドレスの情報をみてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
204,41,4,Windowsではwhoisコマンドが使えません,0,2017-12-27 12:24:12,2017-12-27 12:24:12
205,41,5,ネットでwhoisコマンドの結果を確認できるサイトがあります「https:://www.cman.jp/network/support/ip.html」,0,2017-12-27 12:24:12,2017-12-27 12:24:12
206,42,1,WebサーバーがIISであればWindowsOSになります。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
207,42,2,このWebサイトはApacheで動いています。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
208,42,3,netcraftというツールorサイトで調べられます。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
209,42,4,https://www.netcraft.com/にアクセスしよう。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
210,42,5,「What\'s that site running?」の箇所に調べたいドメインを入力してみよう。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
211,43,1,.htaccessを使うことでアクセス制限を行えます,0,2017-12-27 12:24:12,2017-12-27 12:24:12
212,43,2,「allow from IPアドレス」と書くとIPアドレスからのアクセスを許可します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
213,43,3,「deny from IPアドレス」と書くとIPアドレスからのアクセスを遮断します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
214,43,4,「IPアドレス/数字」という書き方はIPアドレスを範囲を示すものです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
215,43,5,特定のIPアドレスだけの場合「IPアドレス/32」or「IPアドレス」の2通りの書き方があります,0,2017-12-27 12:24:12,2017-12-27 12:24:12
216,44,1,パケットとはネットワークを流れるデータのことです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
217,44,2,キャプチャとはネットワークに流れるデータを監視・取得することを意味します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
218,44,3,パケットダンプファイルとはネットワークを流れるデータを出力したファイルのことです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
219,44,4,パケットダンプファイルを調べるにはツールが必要です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
220,44,5,WireSharkというツールが有名です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
221,45,1,パケットとはネットワークを流れるデータのことです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
222,45,2,キャプチャとはネットワークに流れるデータを監視・取得することを意味します,0,2017-12-27 12:24:12,2017-12-27 12:24:12
223,45,3,パケットダンプファイルとはネットワークを流れるデータを出力したファイルのことです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
224,45,4,パケットダンプファイルを調べるにはツールが必要です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
225,45,5,WireSharkというツールが有名です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
226,46,1,わからないものは調べましょう(これ以上のヒントはありません),0,2018-03-17 16:02:50,2018-03-17 16:02:50
227,46,2,はい点数減った!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
228,46,3,はい点数また減った!!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
229,46,4,点数がへるだけだよ,0,2018-03-17 16:02:50,2018-03-17 16:02:50
230,46,5,点数がなくなっちゃったね,0,2018-03-17 16:02:50,2018-03-17 16:02:50
231,47,1,わからないものは調べましょう(これ以上のヒントはありません),0,2018-03-17 16:02:50,2018-03-17 16:02:50
232,47,2,はい点数減った!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
233,47,3,はい点数また減った!!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
234,47,4,点数がへるだけだよ,0,2018-03-17 16:02:50,2018-03-17 16:02:50
235,47,5,点数がなくなっちゃったね,0,2018-03-17 16:02:50,2018-03-17 16:02:50
236,48,1,わからないものは調べましょう(これ以上のヒントはありません),0,2018-03-17 16:02:50,2018-03-17 16:02:50
237,48,2,はい点数減った!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
238,48,3,はい点数また減った!!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
239,48,4,点数がへるだけだよ,0,2018-03-17 16:02:50,2018-03-17 16:02:50
240,48,5,点数がなくなっちゃったね,0,2018-03-17 16:02:50,2018-03-17 16:02:50
241,49,1,わからないものは調べましょう(これ以上のヒントはありません),0,2018-03-17 16:02:50,2018-03-17 16:02:50
242,49,2,はい点数減った!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
243,49,3,はい点数また減った!!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
244,49,4,点数がへるだけだよ,0,2018-03-17 16:02:50,2018-03-17 16:02:50
245,49,5,点数がなくなっちゃったね,0,2018-03-17 16:02:50,2018-03-17 16:02:50
246,50,1,わからないものは調べましょう(これ以上のヒントはありません),0,2018-03-17 16:02:50,2018-03-17 16:02:50
247,50,2,はい点数減った!,0,2018-03-17 16:02:50,2018-03-17 16:02:50
